sensor_id,warehouse_id,timestamp,temperature,humidity,battery_level,status
S_W37_2,W37,2025-08-25 01:00:00,27.3,56.6,71.8,OK
S_W1_5,W1,2025-08-25 02:20:00,34.3,62.1,50.9,OK
S_W10_5,W10,2025-08-25 01:30:00,31.6,66.3,60.9,OK
S_W20_2,W20,2025-08-25 02:30:00,27.5,57.2,77.1,OK
S_W43_5,W43,2025-08-25 02:40:00,20.5,0.0,87.6,OK
S_W14_5,W14,2025-08-25 02:55:00,25.1,56.3,62.9,OK
S_W39_2,W39,2025-08-25 00:30:00,21.8,59.2,68.0,OK
S_W41_5,W41,2025-08-25 02:25:00,32.5,61.8,93.2,OK
S_W31_2,W31,2025-08-25 01:10:00,30.0,60.7,81.1,OK
S_W1_3,W1,2025-08-25 01:45:00,26.1,56.4,62.3,OK
S_W14_5,W14,2025-08-25 00:25:00,23.6,58.8,90.8,OK
S_W18_1,W18,2025-08-25 00:15:00,25.7,58.1,52.0,OK
S_W3_4,W3,2025-08-25 03:20:00,24.4,62.8,72.8,OK
S_W50_4,W50,2025-08-25 00:30:00,26.5,59.1,67.2,OK
S_W49_5,W49,2025-08-25 02:20:00,23.3,68.1,88.0,OK
S_W34_3,W34,2025-08-25 02:55:00,-100.0,49.9,88.5,MALFUNCTION
S_W20_2,W20,2025-08-25 00:20:00,24.5,49.8,58.5,OK
S_W46_2,W46,2025-08-25 04:55:00,27.9,68.0,67.6,OK
S_W33_3,W33,2025-08-25 01:50:00,25.0,56.9,86.4,OK
S_W1_1,W1,2025-08-25 03:55:00,23.0,60.5,90.6,OK
S_W2_2,W2,2025-08-25 01:25:00,26.4,61.1,98.1,OK
S_W40_1,W40,2025-08-25 00:10:00,23.2,62.8,87.3,OK
S_W18_2,W18,2025-08-25 04:25:00,26.1,64.9,53.6,OK
S_W11_5,W11,2025-08-25 03:40:00,23.2,62.1,67.2,OK
S_W10_3,W10,2025-08-25 03:50:00,22.4,57.4,81.2,OK
S_W7_3,W7,2025-08-25 00:55:00,23.2,57.9,56.4,OK
S_W21_2,W21,2025-08-25 00:30:00,26.7,64.2,99.5,OK
S_W25_5,W25,2025-08-25 02:00:00,24.6,59.0,54.3,OK
S_W16_1,W16,2025-08-25 01:40:00,24.6,57.2,85.7,OK
S_W38_4,W38,2025-08-25 01:00:00,25.6,52.7,52.7,OK
S_W22_4,W22,2025-08-25 00:15:00,29.4,57.7,52.8,OK
S_W22_5,W22,2025-08-25 01:15:00,26.0,63.7,52.1,OK
S_W36_2,W36,2025-08-25 00:20:00,23.4,63.0,76.9,OK
S_W14_4,W14,2025-08-25 00:55:00,22.5,62.9,87.4,OK
S_W21_4,W21,2025-08-25 01:00:00,24.5,63.3,50.6,OK
S_W1_1,W1,2025-08-25 00:10:00,27.7,54.0,57.3,OK
S_W20_1,W20,2025-08-25 00:40:00,24.7,52.6,94.1,OK
S_W46_4,W46,2025-08-25 03:30:00,18.8,57.2,68.3,OK
S_W37_3,W37,2025-08-25 02:05:00,20.6,65.1,55.8,OK
S_W25_1,W25,2025-08-25 00:40:00,25.7,56.8,74.9,OK
S_W15_3,W15,2025-08-25 02:15:00,25.1,62.8,56.7,OK
S_W20_4,W20,2025-08-25 01:05:00,29.0,65.2,98.5,OK
S_W16_3,W16,2025-08-25 04:20:00,30.0,71.0,99.5,OK
S_W44_1,W44,2025-08-25 02:15:00,25.7,50.3,85.4,OK
S_W5_4,W5,2025-08-25 03:25:00,24.9,53.7,74.5,OK
S_W35_4,W35,2025-08-25 01:30:00,22.4,64.0,100.0,OK
S_W8_1,W8,2025-08-25 01:50:00,22.1,95.0,82.7,OK
S_W36_5,W36,2025-08-25 01:40:00,22.4,53.8,76.6,OK
S_W40_3,W40,2025-08-25 00:50:00,18.1,59.0,63.1,OK
S_W44_4,W44,2025-08-25 02:05:00,30.6,60.4,56.9,OK
S_W31_3,W31,2025-08-25 03:10:00,27.0,70.3,94.2,OK
S_W30_1,W30,2025-08-25 03:40:00,25.3,61.3,75.6,OK
S_W42_1,W42,2025-08-25 03:20:00,24.6,63.1,76.7,OK
S_W39_5,W39,2025-08-25 00:50:00,26.6,58.0,89.7,OK
S_W44_5,W44,2025-08-25 02:15:00,25.0,54.1,51.3,OK
S_W36_5,W36,2025-08-25 02:15:00,27.8,57.6,50.6,OK
S_W7_4,W7,2025-08-25 00:40:00,28.7,55.1,56.8,OK
S_W30_4,W30,2025-08-25 02:45:00,24.0,59.6,94.7,OK
S_W23_1,W23,2025-08-25 00:50:00,22.7,58.5,66.8,OK
S_W27_2,W27,2025-08-25 00:25:00,25.9,52.0,63.5,OK
S_W8_2,W8,2025-08-25 01:35:00,21.6,62.0,57.1,OK
S_W28_5,W28,2025-08-25 00:45:00,21.1,60.9,94.6,OK
S_W27_3,W27,2025-08-25 00:55:00,24.6,53.4,63.6,OK
S_W27_1,W27,2025-08-25 00:45:00,21.6,65.0,88.0,OK
S_W5_3,W5,2025-08-25 04:00:00,24.6,59.7,92.4,OK
S_W39_2,W39,2025-08-25 03:30:00,21.3,55.4,95.8,OK
S_W40_3,W40,2025-08-25 01:30:00,22.5,54.7,86.3,OK
S_W29_1,W29,2025-08-25 04:30:00,26.5,59.4,53.7,OK
S_W11_1,W11,2025-08-25 01:10:00,25.9,61.3,63.1,OK
S_W46_4,W46,2025-08-25 03:45:00,24.2,61.0,52.6,OK
S_W40_2,W40,2025-08-25 02:30:00,25.2,51.7,87.8,OK
S_W6_1,W6,2025-08-25 03:10:00,23.5,64.1,58.3,OK
S_W47_2,W47,2025-08-25 01:25:00,24.3,59.6,77.7,OK
S_W48_4,W48,2025-08-25 03:10:00,26.2,66.5,79.0,OK
S_W36_3,W36,2025-08-25 04:20:00,24.7,60.9,76.8,OK
S_W34_3,W34,2025-08-25 02:10:00,23.7,60.3,50.3,OK
S_W29_5,W29,2025-08-25 00:50:00,21.7,62.6,69.9,OK
S_W43_2,W43,2025-08-25 02:00:00,21.5,58.5,62.9,OK
S_W3_4,W3,2025-08-25 02:10:00,28.3,61.7,88.5,OK
S_W29_5,W29,2025-08-25 04:00:00,24.8,59.4,62.2,OK
S_W1_5,W1,2025-08-25 00:45:00,-100.0,61.6,92.8,MALFUNCTION
S_W2_5,W2,2025-08-25 03:45:00,26.0,65.1,53.8,OK
S_W22_5,W22,2025-08-25 01:55:00,27.1,58.6,90.4,OK
S_W8_2,W8,2025-08-25 00:55:00,24.3,63.7,90.9,OK
S_W6_4,W6,2025-08-25 04:20:00,28.0,63.3,83.8,OK
S_W16_4,W16,2025-08-25 02:20:00,24.2,64.3,84.3,OK
S_W2_3,W2,2025-08-25 02:35:00,24.7,60.4,95.8,OK
S_W11_3,W11,2025-08-25 04:25:00,23.2,63.2,77.1,OK
S_W27_2,W27,2025-08-25 02:00:00,29.2,64.5,70.1,OK
S_W45_3,W45,2025-08-25 03:45:00,28.3,58.5,59.3,OK
S_W27_2,W27,2025-08-25 02:15:00,19.5,60.2,71.7,OK
S_W22_4,W22,2025-08-25 02:45:00,19.4,63.6,82.4,OK
S_W46_2,W46,2025-08-25 04:05:00,26.3,61.0,99.1,OK
S_W45_4,W45,2025-08-25 04:25:00,23.7,64.8,89.2,OK
S_W16_5,W16,2025-08-25 03:05:00,23.6,54.8,59.2,OK
S_W18_1,W18,2025-08-25 00:45:00,25.5,62.0,82.6,OK
S_W25_2,W25,2025-08-25 02:20:00,29.8,46.0,90.3,OK
S_W8_1,W8,2025-08-25 01:00:00,26.2,57.9,57.4,OK
S_W18_3,W18,2025-08-25 00:30:00,25.4,62.6,55.7,OK
S_W40_3,W40,2025-08-25 02:35:00,27.2,55.5,92.9,OK
S_W37_3,W37,2025-08-25 02:15:00,28.2,50.5,87.7,OK
S_W8_4,W8,2025-08-25 03:10:00,22.9,59.7,96.0,OK
S_W37_2,W37,2025-08-25 03:25:00,25.0,57.8,84.1,OK
S_W20_5,W20,2025-08-25 02:50:00,22.9,55.4,63.9,OK
S_W48_1,W48,2025-08-25 03:25:00,25.4,58.8,79.8,OK
S_W16_5,W16,2025-08-25 02:30:00,19.8,56.3,60.2,OK
S_W7_1,W7,2025-08-25 00:35:00,24.2,60.6,65.8,OK
S_W44_2,W44,2025-08-25 01:50:00,26.1,57.5,83.8,OK
S_W46_2,W46,2025-08-25 03:05:00,26.8,57.8,65.7,OK
S_W9_1,W9,2025-08-25 00:30:00,25.1,64.2,51.3,OK
S_W28_4,W28,2025-08-25 00:15:00,24.9,63.7,67.4,OK
S_W23_1,W23,2025-08-25 01:30:00,27.8,50.5,63.9,OK
S_W5_3,W5,2025-08-25 04:35:00,25.0,58.7,59.4,OK
S_W27_1,W27,2025-08-25 00:30:00,25.2,57.9,70.5,OK
S_W35_1,W35,2025-08-25 02:40:00,26.0,57.9,86.0,OK
S_W38_1,W38,2025-08-25 02:10:00,23.6,52.5,59.3,OK
S_W44_5,W44,2025-08-25 00:40:00,30.9,62.6,85.1,OK
S_W38_2,W38,2025-08-25 00:15:00,25.4,56.8,98.8,OK
S_W20_4,W20,2025-08-25 02:35:00,26.3,0.0,73.2,OK
S_W18_2,W18,2025-08-25 02:10:00,24.4,60.7,57.9,OK
S_W36_4,W36,2025-08-25 00:55:00,25.4,65.6,86.5,OK
S_W50_3,W50,2025-08-25 02:25:00,22.5,58.9,69.4,OK
S_W11_5,W11,2025-08-25 04:25:00,24.4,51.8,72.4,OK
S_W29_1,W29,2025-08-25 02:30:00,24.3,56.1,65.8,OK
S_W13_1,W13,2025-08-25 00:35:00,24.7,58.4,66.3,OK
S_W4_4,W4,2025-08-25 02:50:00,26.7,54.3,65.4,OK
S_W23_5,W23,2025-08-25 02:55:00,26.2,56.9,57.9,OK
S_W17_2,W17,2025-08-25 03:00:00,21.5,95.0,62.8,OK
S_W14_5,W14,2025-08-25 01:55:00,18.1,58.3,96.0,OK
S_W17_5,W17,2025-08-25 03:40:00,25.0,66.5,72.8,OK
