order_id,customer_id,product_id,category,payment_method,order_time,price,quantity,total_amount,status
O898230,C187,P40,Books,Debit Card,2025-08-23 00:06:00,297.45,1,297.45,Completed
O483710,C178,P44,Sports,UPI,2025-08-24 03:01:00,478.34,3,1435.02,Completed
O556243,C139,P46,Electronics,UPI,2025-08-21 05:18:00,187.59,4,750.36,Completed
O745017,C42,P30,Home,Credit Card,2025-08-23 01:32:00,478.53,4,1914.12,Completed
O986474,C79,P23,,Debit Card,2025-08-22 09:39:00,224.06,1,224.06,Completed
O474871,C99,P19,Clothing,PayPal,2025-08-21 09:39:00,31.28,2,62.56,Completed
O642428,C35,P46,Clothing,Credit Card,2025-08-21 08:41:00,100.16,3,300.48,Completed
O597292,C124,P2,Electronics,Cash,2025-08-21 02:52:00,370.64,1,370.64,Completed
O424145,C97,P40,Sports,Cash,2025-08-22 22:12:00,430.18,1,430.18,Completed
O212115,C152,P23,Clothing,Credit Card,2025-08-21 12:00:00,456.49,4,1825.96,Completed
O173110,C51,P48,Books,Credit Card,2025-08-21 09:11:00,322.1,4,1288.4,Cancelled
O341684,C94,P15,Sports,Debit Card,2025-08-21 01:14:00,203.62,2,407.24,Completed
O606701,C130,P41,Home,Cash,2025-08-24 02:07:00,63.7,1,63.7,Completed
O244015,C47,P11,,UPI,2025-08-20 20:58:00,493.97,2,987.94,Completed
O302707,C22,P7,Sports,Cash,2025-08-20 02:55:00,122.56,3,367.68,Completed
O908741,C178,P23,Books,Credit Card,2025-08-21 13:25:00,280.45,1,280.45,Completed
O141810,C118,P42,Books,UPI,2025-08-20 11:16:00,300.19,1,300.19,Completed
O838007,C52,P35,Sports,UPI,2025-08-23 11:39:00,475.34,4,1901.36,Completed
O193944,C7,P50,Clothing,Cash,2025-08-21 22:23:00,387.49,5,1937.45,Completed
O741481,C165,P1,Home,Credit Card,2025-08-22 01:46:00,271.67,1,271.67,Completed
O620704,C36,P27,Home,PayPal,2025-08-22 15:03:00,285.39,3,856.17,Completed
O386512,C31,P22,Clothing,Debit Card,2025-08-21 04:43:00,86.27,5,431.35,Completed
O187773,C1,P18,Sports,Cash,2025-08-22 03:48:00,283.79,2,567.58,Completed
O602865,C85,P24,Sports,Credit Card,2025-08-21 11:36:00,352.17,3,1056.51,Completed
O605449,C12,P36,Books,Credit Card,2025-08-21 08:39:00,368.63,2,737.26,Completed
O953166,C181,P3,Clothing,Credit Card,2025-08-23 22:58:00,451.5,4,1806.0,Completed
O355967,C44,P50,Home,Debit Card,2025-08-21 07:03:00,268.56,4,1074.24,Cancelled
O514937,C124,P6,Clothing,Debit Card,2025-08-22 10:37:00,39.72,3,119.16,Cancelled
O212891,C46,P30,Home,Credit Card,2025-08-24 11:56:00,369.1,4,1476.4,Completed
O466929,C18,P44,Books,PayPal,2025-08-22 23:40:00,54.0,3,162.0,Completed
O600850,C165,P33,Home,PayPal,2025-08-24 06:36:00,281.53,2,563.06,Completed
O245718,C199,P9,Books,UPI,2025-08-21 02:33:00,179.93,2,359.86,Completed
O607578,C17,P47,Sports,Credit Card,2025-08-22 09:04:00,41.52,4,166.08,Completed
O216853,C70,P2,,Credit Card,2025-08-20 07:49:00,200.54,3,601.62,Completed
O909332,C55,P14,Sports,Cash,2025-08-24 05:54:00,188.22,2,376.44,Completed
O669900,C77,P23,Electronics,Debit Card,2025-08-24 10:27:00,461.23,5,2306.15,Completed
O959789,C165,P50,Clothing,UPI,2025-08-20 19:23:00,482.77,5,2413.85,Completed
O890274,C15,P20,Books,UPI,2025-08-22 23:40:00,152.16,1,152.16,Completed
O646117,C42,P46,Home,UPI,2025-08-24 23:52:00,183.02,5,915.1,Completed
O747169,C76,P31,Home,PayPal,2025-08-20 04:42:00,130.59,3,391.77,Cancelled
O821484,C60,P5,Electronics,UPI,2025-08-24 07:48:00,443.55,4,1774.2,Completed
O370403,C175,P31,Sports,UPI,2025-08-23 17:16:00,145.14,5,725.7,Completed
O656824,C190,P45,Electronics,Credit Card,2025-08-22 05:57:00,200.09,4,800.36,Completed
O257357,C137,P6,Sports,PayPal,2025-08-22 23:17:00,22.17,3,66.51,Completed
O795898,C108,P25,Home,UPI,2025-08-21 07:32:00,470.37,3,1411.11,Completed
O995742,C66,P45,Electronics,PayPal,2025-08-22 04:51:00,210.6,4,842.4,Completed
O128575,C58,P35,Home,Credit Card,2025-08-23 05:01:00,200.16,5,1000.8,Cancelled
O508431,C33,P12,Sports,Debit Card,2025-08-22 03:12:00,161.06,4,644.24,Completed
O591607,C159,P8,Sports,Cash,2025-08-23 09:24:00,350.57,2,701.14,Completed
O288832,C103,P13,Electronics,PayPal,2025-08-21 14:46:00,145.11,4,580.44,Completed
O472187,C94,P18,Electronics,Credit Card,2025-08-20 11:13:00,231.41,5,1157.05,Completed
O525807,C67,P18,Clothing,Credit Card,2025-08-22 16:24:00,258.95,1,258.95,Completed
O697437,C146,P39,Books,PayPal,2025-08-21 12:34:00,64.09,3,192.27,Completed
O481763,C95,P11,Clothing,Credit Card,2025-08-23 20:05:00,127.98,4,511.92,Completed
O800096,C89,P1,Sports,Debit Card,2025-08-21 01:51:00,458.75,1,458.75,Completed
O724719,C200,P24,Books,Credit Card,2025-08-21 03:43:00,415.09,5,2075.45,Completed
O250508,C86,P48,Sports,PayPal,2025-08-23 18:03:00,162.33,3,486.99,Completed
