activity_id,student_id,course_id,activity_type,activity_time,device,location,duration_minutes
A274850,S27,C13,Complete_Course,2025-08-21 08:20:00,Tablet,Canada,
A110285,S25,C8,Forum_Post,2025-08-21 06:09:00,Tablet,Canada,
A490154,S72,C15,Watch_Video,2025-08-26 13:36:00,Desktop,USA,33.0
A618340,S100,C18,Login,2025-08-25 13:38:00,Mobile,UK,
A245486,S126,C10,Login,2025-08-25 10:14:00,Desktop,India,
A847712,S7,C17,Login,2025-08-26 15:51:00,Mobile,USA,
A884575,S120,C16,Watch_Video,2025-08-21 17:54:00,Mobile,Australia,29.0
A250169,S105,C10,Complete_Course,2025-08-22 06:18:00,Mobile,UK,
A338620,S15,C14,Login,2025-08-22 04:08:00,Tablet,UK,
A502175,S118,C4,Attempt_Quiz,2025-08-23 15:17:00,Tablet,Canada,22.0
A741978,S108,C11,Watch_Video,2025-08-24 04:58:00,Tablet,Australia,1.0
A757951,S19,C15,Complete_Course,2025-08-20 18:57:00,Desktop,India,
A952084,S87,C15,Login,2025-08-22 00:44:00,Tablet,Australia,
A593317,S71,C12,Complete_Course,2025-08-23 09:28:00,Tablet,Australia,
A479991,S3,C20,Forum_Post,2025-08-20 15:31:00,Tablet,UK,
A941776,S75,C15,Complete_Course,2025-08-23 17:39:00,Tablet,USA,
A878883,S35,C15,Attempt_Quiz,2025-08-22 22:11:00,Mobile,India,15.0
A297561,S133,C19,Complete_Course,2025-08-20 05:45:00,Mobile,,
A311313,S142,C12,Complete_Course,2025-08-21 00:20:00,Desktop,UK,
A643678,S60,C5,Complete_Course,2025-08-24 12:38:00,Tablet,India,
A629534,S64,C8,Forum_Post,2025-08-26 13:11:00,Tablet,Canada,
A878262,S44,C18,Attempt_Quiz,2025-08-25 13:52:00,Tablet,Australia,39.0
A727056,S113,C5,Forum_Post,2025-08-21 13:13:00,Mobile,Canada,
A282796,S25,C15,Complete_Course,2025-08-20 13:28:00,Mobile,UK,
A128479,S18,C17,Watch_Video,2025-08-24 23:44:00,Mobile,Canada,55.0
A717309,S3,C9,Complete_Course,2025-08-20 13:30:00,Tablet,USA,
A608576,S6,C19,Watch_Video,2025-08-23 23:21:00,Desktop,UK,10.0
A974826,S41,C1,Forum_Post,2025-08-22 03:25:00,Mobile,India,
